"contract","internet_service","customers","churned","churn_rate","avg_historical_value","total_historical_value_lost","avg_future_value_lost_per_customer","total_future_value_lost","total_clv_impact"
Month-to-month,Fiber optic,2128,1162,54.61,1969.71,1731652.50,4736.00,5503233.45,7234885.95
Month-to-month,DSL,1223,394,32.22,830.04,185580.55,2884.42,1136462.55,1322043.10
One year,Fiber optic,539,104,19.29,5195.59,548084.00,2058.85,214120.10,762204.10
One year,DSL,570,53,9.30,2526.30,122114.95,2253.65,119443.60,241558.55
Two year,Fiber optic,429,31,7.23,6833.67,203520.95,972.99,30162.55,233683.50
Month-to-month,No,524,99,18.89,189.26,9949.20,1354.17,134062.40,144011.60
Two year,DSL,628,12,1.91,4245.67,52321.00,449.80,5397.60,57718.60
One year,No,364,9,2.47,622.63,4792.25,979.34,8814.10,13606.35
Two year,No,638,5,0.78,1074.18,4911.50,629.59,3147.95,8059.45
